Zeile;Keyword Deutsch;Keyword Abkürzung;Keyword Englisch;ignore;Parent Zeile;;;;
71;Dichlordiphenyltrichlorethan;DDT;Dichlorodiphenyltrichloroethane;"bearbeitet von BB+ MA; Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55";54;;;;
72;;;;gestrichen  BB;;;;;
74; alpha-1,2,3,4,5,6-Hexachlorcyclohexan;_-HCH;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55";54;;;;
75;beta-1,2,3,4,5,6-Hexachlorcyclohexan ;_-HCH;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55";54;;;;
76;gamma-1,2,3,4,5,6-Hexachlorcyclohexan;_-HCH;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55";54;;;;
77;Heptachlorepoxid;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55";54;;;;
79;Benzo[b,j,k]fluoranthen;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
80;Benzo[b]naphto[2,1-d]thiophen;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
81; Benzo[ghi]fluoranthen,;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
82;Benzo[e]pyren;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
83;Benzo[c]phenanthren;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
84;Benzo[ghi]perle;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
85;Dibenz[a,h]antrace;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
86;Indeno[1,2,3-cd]pyren;;;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
